fold,model,gold,relation_scope,forms,clusters,macro_precision,macro_recall,macro_f1,tp,fp,fn,pairwise_precision,pairwise_recall,pairwise_f1,cistem_commit,cistem_python_blob
0,CISTEM,GS1,fold_restricted,59652,6042,0.9931301617716956,0.8952699484951709,0.922810341187266,269373,3437,1269727,0.9874014882152414,0.17501981677603795,0.2973359603953839,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
0,CISTEM,GS2,fold_restricted,59652,9802,0.9424636005465503,0.9624143097715504,0.9328206591358953,252780,20030,45914,0.9265789377222242,0.8462841570302718,0.884613231053501,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
1,CISTEM,GS1,fold_restricted,59651,6044,0.9902348226821629,0.8932647934597379,0.9192863832864947,262314,5004,1276252,0.9812807218369134,0.17049252355765043,0.29051035393192476,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
1,CISTEM,GS2,fold_restricted,59651,9836,0.9400979685195978,0.9621232431136102,0.9303632811519873,248330,18988,49830,0.9289684944523002,0.8328749664609606,0.8783011894361938,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
2,CISTEM,GS1,fold_restricted,59652,6044,0.991551087114694,0.8954796770668368,0.9216443576172956,264850,4927,1272988,0.981736767774866,0.17222230169887856,0.2930380639682676,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
2,CISTEM,GS2,fold_restricted,59652,9941,0.946588152306597,0.9632742929745851,0.9365532758847236,251910,17867,45522,0.9337712258643249,0.8469498910675382,0.8882440158742192,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
3,CISTEM,GS1,fold_restricted,59652,6044,0.9911971465194375,0.8950318510729226,0.9215338845467965,266508,5686,1268002,0.9791104873729767,0.1736762875445582,0.29502120989381764,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
3,CISTEM,GS2,fold_restricted,59652,9899,0.9402106705450207,0.9624232427131075,0.9314586787453208,249370,22824,44734,0.9161480414704218,0.847897342436689,0.8807023863760777,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
4,CISTEM,GS1,fold_restricted,59652,6041,0.990632183667302,0.896212602512084,0.9213990283728257,267198,4322,1270438,0.9840822038892163,0.1737719460262377,0.2953841459774614,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
4,CISTEM,GS2,fold_restricted,59652,9874,0.94322206606074,0.9628410115370135,0.9333947967790613,251948,19572,45282,0.9279169121979964,0.8476533324361606,0.885970989010989,7c19867c2e062c8a7d44b394c19573845ac4bd89,dbc90836bb6361712b52b2e504b85c702294a29f
