representative,model,gold,clusters,macro_precision,macro_recall,macro_f1
medoid,M_GS1,GS1,30215,0.9988289028499974,0.6181601916362642,0.6961779426570649
medoid,M_GS1,GS2,49352,0.9716337834525419,0.6371579861188327,0.6933227877954392
medoid,M_GS2,GS1,30215,0.9997517789177561,0.7296347393761822,0.7984677893122356
medoid,M_GS2,GS2,49352,0.9981087487422762,0.7878463046228965,0.8422170833310538
shortest,M_GS1,GS1,30215,0.9977561809360322,0.6529043025161303,0.7229377087166099
shortest,M_GS1,GS2,49352,0.9567687059878456,0.6654821329021425,0.7057219764521431
shortest,M_GS2,GS1,30215,0.9996222902531855,0.771627996462029,0.8323615677560572
shortest,M_GS2,GS2,49352,0.9961050612930795,0.8366214632228339,0.8777353335144796
lexical,M_GS1,GS1,30215,0.9980577573150755,0.6338250002774201,0.7058558268163186
lexical,M_GS1,GS2,49352,0.9669561439964696,0.6441586482370644,0.6937262093637323
lexical,M_GS2,GS1,30215,0.9996553863974847,0.7575166202558189,0.8185888562331362
lexical,M_GS2,GS2,49352,0.9967177537262506,0.8138300831667539,0.8556633268457046
