representative,disagreement_pair_bin,components,disagreement_pairs,disagreement_pair_share,aligned_switches,reverse_switches,delta_macro_within_bin,delta_micro_within_bin
medoid,1-10,822,4317,0.0006960624182727268,292,7,0.06478922874908276,0.0660180681028492
medoid,11-100,2892,103178,0.016636165900519667,6318,20,0.07159502846820913,0.0610401442167904
medoid,101-1000,1691,607020,0.09787440563815396,13318,58,0.022291790880791224,0.021844420282692498
medoid,>1000,760,5487515,0.8847933660430537,17074,494,0.007547080200913554,0.003021404041720159
shortest,1-10,822,4317,0.0006960624182727268,449,8,0.0991498667593558,0.10215427380125087
shortest,11-100,2892,103178,0.016636165900519667,9482,93,0.10263205753353835,0.09099808098625677
shortest,101-1000,1691,607020,0.09787440563815396,19211,142,0.03401772578064135,0.031414121445751376
shortest,>1000,760,5487515,0.8847933660430537,24498,560,0.010470182427779511,0.004362265980138551
lexical,1-10,822,4317,0.0006960624182727268,405,8,0.08817585834009191,0.09196201065554784
lexical,11-100,2892,103178,0.016636165900519667,7823,68,0.08744076948623473,0.07516137161022698
lexical,101-1000,1691,607020,0.09787440563815396,11810,149,0.023547594260038846,0.019210240189779577
lexical,>1000,760,5487515,0.8847933660430537,13153,364,0.005605502220939637,0.0023305631055222627
