representative,fold,component_id,forms,disagreement_g1_same,disagreement_g2_same,disagreement_pairs,aligned_switches,reverse_switches,delta,switch_coverage,correct_switch_share,directional_identity
medoid,0,7,21,110,0,110,0,0,0.0,0.0,nan,0.0
medoid,0,119,92,3578,0,3578,0,0,0.0,0.0,nan,0.0
medoid,0,159,15,26,0,26,0,0,0.0,0.0,nan,0.0
medoid,0,172,23,90,0,90,0,0,0.0,0.0,nan,0.0
medoid,0,214,18,93,0,93,2,0,0.021505376344086023,0.021505376344086023,1.0,0.021505376344086023
medoid,0,271,119,6510,0,6510,28,0,0.004301075268817204,0.004301075268817204,1.0,0.004301075268817204
medoid,0,304,13,22,0,22,0,0,0.0,0.0,nan,0.0
medoid,0,306,18,17,0,17,0,0,0.0,0.0,nan,0.0
medoid,0,307,14,44,0,44,0,0,0.0,0.0,nan,0.0
medoid,0,327,8,12,0,12,0,0,0.0,0.0,nan,0.0
medoid,0,353,15,44,0,44,0,0,0.0,0.0,nan,0.0
medoid,0,368,19,100,0,100,2,0,0.02,0.02,1.0,0.02
medoid,0,442,4,4,0,4,0,0,0.0,0.0,nan,0.0
medoid,0,446,13,55,0,55,0,0,0.0,0.0,nan,0.0
medoid,0,494,15,56,0,56,0,0,0.0,0.0,nan,0.0
medoid,0,608,21,38,0,38,0,0,0.0,0.0,nan,0.0
medoid,0,615,17,78,0,78,0,0,0.0,0.0,nan,0.0
medoid,0,626,31,273,0,273,22,0,0.08058608058608059,0.08058608058608059,1.0,0.08058608058608059
medoid,0,660,35,408,0,408,0,0,0.0,0.0,nan,0.0
medoid,0,696,33,272,0,272,0,0,0.0,0.0,nan,0.0
medoid,0,718,26,199,0,199,0,0,0.0,0.0,nan,0.0
medoid,0,775,28,228,0,228,0,0,0.0,0.0,nan,0.0
medoid,0,791,22,157,0,157,0,0,0.0,0.0,nan,0.0
medoid,0,810,8,12,0,12,0,0,0.0,0.0,nan,0.0
medoid,0,838,43,633,0,633,0,0,0.0,0.0,nan,0.0
medoid,0,843,11,30,0,30,0,0,0.0,0.0,nan,0.0
medoid,0,845,12,36,0,36,0,0,0.0,0.0,nan,0.0
medoid,0,886,221,23012,0,23012,0,0,0.0,0.0,nan,0.0
medoid,0,891,7,6,0,6,6,0,1.0,1.0,1.0,1.0
medoid,0,909,13,22,0,22,0,0,0.0,0.0,nan,0.0
medoid,0,910,3,2,0,2,0,0,0.0,0.0,nan,0.0
medoid,0,934,47,947,0,947,0,0,0.0,0.0,nan,0.0
medoid,0,950,44,597,0,597,0,0,0.0,0.0,nan,0.0
medoid,0,957,23,102,0,102,0,0,0.0,0.0,nan,0.0
medoid,0,960,11,18,0,18,0,0,0.0,0.0,nan,0.0
medoid,0,988,23,102,0,102,0,0,0.0,0.0,nan,0.0
medoid,0,1093,18,71,0,71,0,0,0.0,0.0,nan,0.0
medoid,0,1116,8,12,0,12,0,0,0.0,0.0,nan,0.0
medoid,0,1125,101,4392,0,4392,86,0,0.019581056466302368,0.019581056466302368,1.0,0.019581056466302368
medoid,0,1138,24,23,0,23,1,0,0.043478260869565216,0.043478260869565216,1.0,0.043478260869565216
medoid,0,1152,8,17,0,17,0,0,0.0,0.0,nan,0.0
medoid,0,1217,22,139,0,139,0,0,0.0,0.0,nan,0.0
medoid,0,1219,4,4,0,4,0,0,0.0,0.0,nan,0.0
medoid,0,1272,13,22,0,22,0,0,0.0,0.0,nan,0.0
medoid,0,1307,20,51,0,51,0,0,0.0,0.0,nan,0.0
medoid,0,1349,27,268,0,268,1,0,0.0037313432835820895,0.0037313432835820895,1.0,0.0037313432835820895
medoid,0,1350,22,85,0,85,0,0,0.0,0.0,nan,0.0
medoid,0,1359,27,97,0,97,22,0,0.2268041237113402,0.2268041237113402,1.0,0.2268041237113402
medoid,0,1409,66,1652,0,1652,0,0,0.0,0.0,nan,0.0
medoid,0,1419,9,18,0,18,0,0,0.0,0.0,nan,0.0
medoid,0,1584,22,159,0,159,0,0,0.0,0.0,nan,0.0
medoid,0,1604,21,68,0,68,0,0,0.0,0.0,nan,0.0
medoid,0,1620,12,20,0,20,0,0,0.0,0.0,nan,0.0
medoid,0,1635,3,2,0,2,0,0,0.0,0.0,nan,0.0
medoid,0,1670,32,359,0,359,0,0,0.0,0.0,nan,0.0
medoid,0,1673,65,1778,0,1778,0,0,0.0,0.0,nan,0.0
medoid,0,1700,25,47,0,47,0,0,0.0,0.0,nan,0.0
medoid,0,1706,21,128,0,128,0,0,0.0,0.0,nan,0.0
medoid,0,1737,22,85,0,85,0,0,0.0,0.0,nan,0.0
medoid,0,1744,21,144,0,144,0,0,0.0,0.0,nan,0.0
medoid,0,1754,7,6,0,6,0,0,0.0,0.0,nan,0.0
medoid,0,1771,81,2627,0,2627,0,0,0.0,0.0,nan,0.0
medoid,0,1813,11,10,0,10,0,0,0.0,0.0,nan,0.0
medoid,0,1836,53,1025,0,1025,54,0,0.05268292682926829,0.05268292682926829,1.0,0.05268292682926829
medoid,0,1855,13,22,0,22,0,0,0.0,0.0,nan,0.0
medoid,0,1857,8,12,0,12,0,0,0.0,0.0,nan,0.0
medoid,0,1883,18,17,0,17,17,0,1.0,1.0,1.0,1.0
medoid,0,1896,21,147,0,147,2,0,0.013605442176870748,0.013605442176870748,1.0,0.013605442176870748
medoid,0,1911,67,1798,0,1798,0,0,0.0,0.0,nan,0.0
medoid,0,2010,54,1114,0,1114,0,0,0.0,0.0,nan,0.0
medoid,0,2014,26,243,0,243,0,0,0.0,0.0,nan,0.0
medoid,0,2025,5,6,0,6,0,0,0.0,0.0,nan,0.0
medoid,0,2048,30,243,0,243,0,0,0.0,0.0,nan,0.0
medoid,0,2077,30,339,0,339,0,0,0.0,0.0,nan,0.0
