representative,fold,model,gold,clusters,macro_precision,macro_recall,macro_f1
medoid,0,M_GS1,GS1,6042,0.999200044135496,0.6170591417705954,0.6971221749015452
medoid,0,M_GS1,GS2,9802,0.9715815680308695,0.6367665921753574,0.69430224712534
medoid,0,M_GS2,GS1,6042,0.9999448306300343,0.7262687136982096,0.7960786686788026
medoid,0,M_GS2,GS2,9802,0.9983649805684924,0.7830736401914976,0.8388359182420826
medoid,1,M_GS1,GS1,6044,0.9980527717374177,0.6152876449113228,0.6922827708803929
medoid,1,M_GS1,GS2,9836,0.9700682709649392,0.6342286687789208,0.6895911437021814
medoid,1,M_GS2,GS1,6044,0.9995036399735274,0.729606080005726,0.7972806103476586
medoid,1,M_GS2,GS2,9836,0.9980641130101097,0.7876694374950806,0.8412039893536861
medoid,2,M_GS1,GS1,6044,0.9988500163379992,0.6203206768766718,0.698274241025799
medoid,2,M_GS1,GS2,9941,0.9727027377734291,0.6445839389404867,0.6998409758652112
medoid,2,M_GS2,GS1,6044,0.999889697771895,0.7321042763035581,0.8009836015382006
medoid,2,M_GS2,GS2,9941,0.9982024456427847,0.7960901592223254,0.8489454940485648
medoid,3,M_GS1,GS1,6044,0.9985274652547982,0.6185077441683804,0.6952434017816145
medoid,3,M_GS1,GS2,9899,0.9711610799516875,0.6338176720526987,0.6906720172469687
medoid,3,M_GS2,GS1,6044,0.999669093315685,0.7300772401168757,0.7987477886176236
medoid,3,M_GS2,GS2,9899,0.9979277045658684,0.7881153078292359,0.842810747218227
medoid,4,M_GS1,GS1,6041,0.999514679989767,0.6196261137347222,0.69796832582337
medoid,4,M_GS1,GS2,9874,0.972642798384921,0.6363369997637506,0.6921628182802778
medoid,4,M_GS2,GS1,6041,0.9997516967389505,0.7301165120488411,0.7992478740057642
medoid,4,M_GS2,GS2,9874,0.9979860191610859,0.7841908762770683,0.8392135551562087
shortest,0,M_GS1,GS1,6042,0.9974888741770569,0.6484883723434957,0.7201388388384738
shortest,0,M_GS1,GS2,9802,0.9570101391211177,0.664032662259739,0.705636084715089
shortest,0,M_GS2,GS1,6042,0.9997793225201369,0.7678857636404296,0.8294693567887669
shortest,0,M_GS2,GS2,9802,0.996769204917677,0.8313074355102925,0.8735566668085905
shortest,1,M_GS1,GS1,6044,0.9977116865428666,0.6495826034407521,0.719429403719874
shortest,1,M_GS1,GS2,9836,0.958861090169959,0.6612789500012219,0.7035752594444428
shortest,1,M_GS2,GS1,6044,0.9997518199867638,0.7730770291230935,0.8336544324457251
shortest,1,M_GS2,GS2,9836,0.996893253585955,0.838572410115143,0.8799529149301921
shortest,2,M_GS1,GS1,6044,0.9979930644364053,0.6578573981270067,0.7273907037594354
shortest,2,M_GS1,GS2,9941,0.9560513150632354,0.6751428443001443,0.7127063420920032
shortest,2,M_GS2,GS1,6044,0.9997276913743658,0.7750580029552001,0.8351895752804479
shortest,2,M_GS2,GS2,9941,0.9960022829348173,0.8433796136474778,0.8833827298054603
shortest,3,M_GS1,GS1,6044,0.9973476253506036,0.6536570909869034,0.7228851679899184
shortest,3,M_GS1,GS2,9899,0.9563198009707274,0.6638610865719364,0.7037649201473684
shortest,3,M_GS2,GS1,6044,0.9995863666446062,0.7723688172342182,0.8328729484729631
shortest,3,M_GS2,GS2,9899,0.9953459337277816,0.8372561151750718,0.8780489313455483
shortest,4,M_GS1,GS1,6041,0.9982398057716714,0.6549355946739112,0.7248444495405221
shortest,4,M_GS1,GS2,9874,0.9556170020743758,0.6630069277031827,0.7028759506094715
shortest,4,M_GS2,GS1,6041,0.9992661259173425,0.7697481979705197,0.8306197041489757
shortest,4,M_GS2,GS2,9874,0.9955251269430031,0.8325130363400097,0.8736743743072474
lexical,0,M_GS1,GS1,6042,0.9976359924969657,0.6285040123344295,0.7022110559821577
lexical,0,M_GS1,GS2,9802,0.9689747207269142,0.6404920810205423,0.6928211783485481
lexical,0,M_GS2,GS1,6042,0.9997793225201369,0.7528349925705757,0.8148079339749511
lexical,0,M_GS2,GS2,9802,0.9974253310791772,0.8063157378833793,0.8495053212784724
lexical,1,M_GS1,GS1,6044,0.9978904698874917,0.6306273030580091,0.702176586781717
lexical,1,M_GS1,GS2,9836,0.9666147342087167,0.6402939583646955,0.6898460338056281
lexical,1,M_GS2,GS1,6044,0.9997518199867638,0.7580617488722609,0.8188307026657274
lexical,1,M_GS2,GS2,9836,0.9973235573204474,0.8131683840038127,0.854946019427634
lexical,2,M_GS1,GS1,6044,0.998415405862439,0.6372858229691166,0.7089123604201002
lexical,2,M_GS1,GS2,9941,0.967637416429037,0.6538918352229877,0.701727520441406
lexical,2,M_GS2,GS1,6044,0.9997552669313919,0.763328642411258,0.8235519628816867
lexical,2,M_GS2,GS2,9941,0.9968604216684804,0.8233174415893221,0.863888248612229
lexical,3,M_GS1,GS1,6044,0.9978766821089786,0.6383038934654856,0.7089977999032302
lexical,3,M_GS1,GS2,9899,0.9672303340531859,0.6425475680437475,0.692372596636121
lexical,3,M_GS2,GS1,6044,0.9995532759761747,0.7580298089201805,0.8188159558884919
lexical,3,M_GS2,GS2,9899,0.9957969336320092,0.8157422695473374,0.8570418166036023
lexical,4,M_GS1,GS1,6041,0.9984703014251103,0.6344024954551034,0.7069806832491251
lexical,4,M_GS1,GS2,9874,0.9643316028719944,0.6434642237330687,0.6917913197311435
lexical,4,M_GS2,GS1,6041,0.9994371792749546,0.7553252716250605,0.8169356540388906
lexical,4,M_GS2,GS2,9874,0.9961913792815765,0.8104800246670759,0.8528282639471529
