representative,fold,disagreement_components,delta_macro,delta_micro,aligned_switches,reverse_switches,disagreement_pairs
medoid,0,1233,0.04501133419200978,0.006597033551917679,8304,121,1240406
medoid,1,1233,0.052560426529386924,0.0063027750591338645,7964,146,1240406
medoid,2,1233,0.04609857769080105,0.005452247086840921,6876,113,1240406
medoid,3,1233,0.0550747746806746,0.005984330936806175,7526,103,1240406
medoid,4,1233,0.04759776419335563,0.005027386194520181,6332,96,1240406
shortest,0,1233,0.06526077245067027,0.009468673966427121,11885,140,1240406
shortest,1,1233,0.06966694043189822,0.008426273333086102,10578,126,1240406
shortest,2,1233,0.07368677974431063,0.008430304271343414,10641,184,1240406
shortest,3,1233,0.08151083606365361,0.008602828428756391,10877,206,1240406
shortest,4,1233,0.06980525833571248,0.007668456940711348,9659,147,1240406
lexical,0,1233,0.05165191323054198,0.005146701966936632,6494,110,1240406
lexical,1,1233,0.06169041232891447,0.005133802964513232,6452,84,1240406
lexical,2,1233,0.06107059521112912,0.005824705781816599,7385,160,1240406
lexical,3,1233,0.06661487195050664,0.005299071433063045,6698,125,1240406
lexical,4,1233,0.058597855690413245,0.004879047666651081,6162,110,1240406
