metric,value
gs1_classes_split_by_gs2,6165
gs1_classes_split_by_gs2_share,0.2040377296045011
gs1_classes_with_same_target_all_encodings,12362
gs1_pairs_split_by_gs2,6202030
gs1_pairs_split_by_gs2_share,0.80675238857128
gs1_same_target_all_encodings_share,0.4091345358265762
gs1_within_class_pairs,7687650
gs2_classes_with_same_target_all_encodings,22734
gs2_same_target_all_encodings_share,0.46065002431512403
gs2_within_class_pairs,1485620
max_gs2_subclasses_per_split_gs1_class,74
mean_gs2_subclasses_per_split_gs1_class,4.1041362530413625
median_gs2_subclasses_per_split_gs1_class,2
raw_common_normalized_forms,304215
raw_gs1_nonempty_cluster_lines,30746
raw_gs2_nonempty_cluster_lines,50362
raw_gs2_pair_refinement_violations,0
restricted_common_forms,298259
restricted_gs1_classes,30215
restricted_gs2_classes,49352
restricted_gs2_refinement_violations,0
