model_id,repository,revision,data_sources,excluded_source_audit,evidence_paths,evidence_sha256,license_id,license_uri,license_scope,source_origin,attribution,projection_semantics,conflict_semantics,lowercase,policy_version,source_rows,accepted_rows,rejected_rows,rejection_counts,source_audit,cross_source_conflict_assignments,cross_source_conflicting_surfaces,intrinsic_ambiguous_surfaces,output_groups,output_forms,output_sha256
ady-default,https://github.com/unimorph/ady,1ce60b56fc1ae6c4a242d264aabb4ce76f23e509,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""ady"",""schema"":""lemma-form-features"",""sha256"":""a00b7b1617cb9abf7fcd00cc29d544d588bbf9f87017ff1bb24f5190d45a49a4""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:7ef8bed997b9cb576b75d89ec602eddb98b661b8fd1629088857a189de1961bf,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: ady,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,22202,20102,2100,blank-row=1727;form-unicode-whitespace=1;lemma-unicode-whitespace=372,"[{""accepted_rows"":20102,""added_changed_pairs"":18731,""added_distinct_surfaces"":20347,""added_groups"":1635,""added_output_forms"":20366,""added_source_pairs"":19406,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":14,""key"":""primary"",""path"":""ady"",""rejected_rows"":2100,""rejection_counts"":{""blank-row"":1727,""form-unicode-whitespace"":1,""lemma-unicode-whitespace"":372},""source_rows"":22202}]",0,0,14,1635,20366,a6ec25c18612cfdc77d43aba4bf49ec3b6cf07e3e484af404a788dff7e944e16
af-za-default,https://github.com/unimorph/afr,cc2df0c0de1a4e44a96739c1670c52d386cbf401,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""afr"",""schema"":""lemma-form-features"",""sha256"":""dcdf6278cda8c252b776e6974b14a5232eee60be91f8a0259b085e701ba55bed""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:0885a8158c5e7eb29255eb8fd4849258bf0ea84e05f5b870f88a8e485f45e600,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: afr,Not stated in pinned repository evidence,UniMorph; Peter Dirix,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,335067,330895,4172,form-unicode-whitespace=1;lemma-runtime-comment-marker=7;lemma-unicode-whitespace=4140;lemma-unsupported-character=24,"[{""accepted_rows"":330895,""added_changed_pairs"":130571,""added_distinct_surfaces"":297154,""added_groups"":170974,""added_output_forms"":301545,""added_source_pairs"":301446,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":4286,""key"":""primary"",""path"":""afr"",""rejected_rows"":4172,""rejection_counts"":{""form-unicode-whitespace"":1,""lemma-runtime-comment-marker"":7,""lemma-unicode-whitespace"":4140,""lemma-unsupported-character"":24},""source_rows"":335067}]",0,0,4286,170974,301545,ab23228100b7671fa7a21a23c6c8662a71de69584b277033d5160806542b4bbd
afb-default,https://github.com/unimorph/afb,aca24ea0d194d5fec56e18ee7cb341bb93be729e,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""afb"",""schema"":""lemma-form-features"",""sha256"":""525d5e9bd66d0213cfbdbcee8277eb3e50bd3682c6277fdb489780154acccec7""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""afb.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:b639189cb6ddd0cb94c970fe5777521ce1d78925fc88e27926225dfc4a55e18f,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: afb,Not stated in pinned repository evidence,UniMorph; Salam Khalifa and Nizar Habash ([CAMeL Lab](www.camel-lab.com) @ NYU Abu Dhabi),Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,32236,32236,0,,"[{""accepted_rows"":32236,""added_changed_pairs"":23811,""added_distinct_surfaces"":29344,""added_groups"":6345,""added_output_forms"":30156,""added_source_pairs"":24796,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":648,""key"":""primary"",""path"":""afb"",""rejected_rows"":0,""rejection_counts"":{},""source_rows"":32236}]",0,0,648,6345,30156,7ba0759227455725063648b569652e0442452501fa58b763f3861a3828655ba7
ail-default,https://github.com/unimorph/ail,e88b9d137859320ec5bcb406d9c3eb54d8e38c33,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""ail"",""schema"":""lemma-form-features"",""sha256"":""e17d26ab3548d2204ae321b63377fb3beed64bb89fae403af4ca7874b1710172""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:37ff40bf5b4789fbe977fc0bcc97875137cb1ef8b6c79e2879d8a9c14683b34a,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: ail,Not stated in pinned repository evidence,"UniMorph; Grant Aiton, Edoardo Maria Ponti, Ekaterina Vylomova",Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,2718,2681,37,form-unicode-whitespace=33;lemma-unicode-whitespace=4,"[{""accepted_rows"":2681,""added_changed_pairs"":2497,""added_distinct_surfaces"":3061,""added_groups"":636,""added_output_forms"":3133,""added_source_pairs"":2508,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":41,""key"":""primary"",""path"":""ail"",""rejected_rows"":37,""rejection_counts"":{""form-unicode-whitespace"":33,""lemma-unicode-whitespace"":4},""source_rows"":2718}]",0,0,41,636,3133,a462d3bc94670a2e37c292d027e70892a35c221441500242b5fa9e350fbfba6f
aka-default,https://github.com/unimorph/aka,f30f6bceef61f64dae87f8e78d4c02a7cd920a07,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""aka"",""schema"":""lemma-form-features"",""sha256"":""3995f2eaff5ebfe1e70aec3906f8b0c660040a595fa71170e566dc82784af9d9""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:fdf7c0a7cc74255ed44c51aae2436a53abba280b4ecb7a34664b4574b8495d0c,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: aka,Not stated in pinned repository evidence,UniMorph; Tiago Pimentel,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,4182,2295,1887,form-unicode-whitespace=1190;lemma-unicode-whitespace=697,"[{""accepted_rows"":2295,""added_changed_pairs"":1817,""added_distinct_surfaces"":1890,""added_groups"":79,""added_output_forms"":1896,""added_source_pairs"":1896,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":6,""key"":""primary"",""path"":""aka"",""rejected_rows"":1887,""rejection_counts"":{""form-unicode-whitespace"":1190,""lemma-unicode-whitespace"":697},""source_rows"":4182}]",0,0,6,79,1896,7dd8e1835f51ced8bc3f87409c1ce6eb089ef0e5cde20111c44282ed9ca498b0
am-et-default,https://github.com/unimorph/amh,02db5a185339f6d7a3440f05a4f1d1ca0131881a,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""amh"",""schema"":""lemma-form-features"",""sha256"":""42014c1c3066495613a5cd1bc7375e4cb3572b779d80f1dc5508d99c753e267f""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""amh.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:d8fe0e3de62651c251bbd4ef6c75d17eddaee298e41d79e4f562314fc30f2c8e,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: amh,Not stated in pinned repository evidence,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,46224,46224,0,,"[{""accepted_rows"":46224,""added_changed_pairs"":40001,""added_distinct_surfaces"":41308,""added_groups"":2461,""added_output_forms"":42462,""added_source_pairs"":42428,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":1140,""key"":""primary"",""path"":""amh"",""rejected_rows"":0,""rejection_counts"":{},""source_rows"":46224}]",0,0,1140,2461,42462,69e9089fae06a465459f288a4e2074ffcb9656bf2b6fd01772a2af3f71e5bb70
ame-default,https://github.com/unimorph/ame,a3119da64f3b740d7f9b9dcbd4189fb5c8ac4a85,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""ame"",""schema"":""lemma-form-features"",""sha256"":""f76cab6da578b5aa9db9af780beffbfa68f570f6f234ee4722a9687ede2cf860""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:7f3e80888ba1142b6ebd6faa4b48ea58ad00ddda61a717f8210f4eb217728e2f,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: ame,"Duff-Trip, M. 1998. Diccionario Yanesha’ (Amuesha)-Castellano","UniMorph; Arturo Oncevay ,Gema Celeste Silva Villegas, Juan López Bautista, Didier López Francis, Roberto Zariquiey",Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,3767,3729,38,form-unsupported-character=21;lemma-unsupported-character=17,"[{""accepted_rows"":3729,""added_changed_pairs"":2342,""added_distinct_surfaces"":2635,""added_groups"":326,""added_output_forms"":2668,""added_source_pairs"":2668,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":33,""key"":""primary"",""path"":""ame"",""rejected_rows"":38,""rejection_counts"":{""form-unsupported-character"":21,""lemma-unsupported-character"":17},""source_rows"":3767}]",0,0,33,326,2668,e59d252da23b0152d213b1ccff688971bfb49971e2ffcc50b991340516d8feaa
ang-default,https://github.com/unimorph/ang,825a9e35208fd8fcbc340bd8129d69012386e048,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""ang"",""schema"":""lemma-form-features"",""sha256"":""e1568ebdf73db88cf3adc1f9d976524d458ef0c9fc69fbef926d0af9dfe8d580""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:9a03198ad0df078612f9e7d77e802edeff0b5a00ef1f7e72de996a643315a66a,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: ang,Not stated in pinned repository evidence,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,178373,178245,128,form-unicode-whitespace=28;lemma-unicode-whitespace=100,"[{""accepted_rows"":178245,""added_changed_pairs"":60479,""added_distinct_surfaces"":65202,""added_groups"":7146,""added_output_forms"":67625,""added_source_pairs"":67625,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":2295,""key"":""primary"",""path"":""ang"",""rejected_rows"":128,""rejection_counts"":{""form-unicode-whitespace"":28,""lemma-unicode-whitespace"":100},""source_rows"":178373}]",0,0,2295,7146,67625,1cb0c94c9df7b61676399d163f0a6b7edc2c9d4c14b7560d8ad3667b447d70cf
arn-default,https://github.com/unimorph/arn,f788f46e295e87e23980cc2634c2449040f05b1c,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""arn"",""schema"":""lemma-form-features"",""sha256"":""ea791e08374673880795aaf7fd0a0ca8222ff60b387f48885ed2c7c92b270a31""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:4da6082aac38e3a07b30fcfc7b0e6c72d1af995af65272836ec2870d0ba6cf86,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: arn,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,814,667,147,blank-row=31;form-unicode-whitespace=116,"[{""accepted_rows"":667,""added_changed_pairs"":522,""added_distinct_surfaces"":548,""added_groups"":26,""added_output_forms"":548,""added_source_pairs"":546,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""arn"",""rejected_rows"":147,""rejection_counts"":{""blank-row"":31,""form-unicode-whitespace"":116},""source_rows"":814}]",0,0,0,26,548,a9d691ff4f8d5b9a8c87baa400e70754295a107f81a157ffcf9b0063034e9a99
arz-default,https://github.com/unimorph/arz,e3fd562845647176b8be9b8e21710732bc76d558,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""arz"",""schema"":""lemma-form-features"",""sha256"":""971457a56dc9a67d5bdc04aae14fa0a0aeb18f3360e15023acbc43b682a4210a""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""arz.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:654fa5763f02c270e2e50390799cd28f801630373b097f92441320090060f44c,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: arz,Not stated in pinned repository evidence,UniMorph; Salam Khalifa and Nizar Habash ([CAMeL Lab](www.camel-lab.com) @ NYU Abu Dhabi),Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,25394,25394,0,,"[{""accepted_rows"":25394,""added_changed_pairs"":12340,""added_distinct_surfaces"":17937,""added_groups"":6004,""added_output_forms"":18344,""added_source_pairs"":17409,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":371,""key"":""primary"",""path"":""arz"",""rejected_rows"":0,""rejection_counts"":{},""source_rows"":25394}]",0,0,371,6004,18344,d5269ffb7e66b59abe39c80415817a7a6ff1cafaa196f9a64d66e74408e70a4f
